Profile,State,Exempt,Description,Status,Category,Classification,Type
Bond Trading - DR,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Bond Trading,Monitor,False,Establish and maintain a software release policy.,Not Applicable,Operational management,Preventive,Establish/Maintain Documentation
PeopleSoft Portals,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Jobvite Enterprise Recruitment Services,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Enterprise Services,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Sales and Distribution,Monitor,False,Establish and maintain a software release policy.,Not Applicable,Operational management,Preventive,Establish/Maintain Documentation
Retail Client Lookup,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
IT Services,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Plant Maintenance,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
PeopleSoft HRMS,Monitor,False,Establish and maintain a software release policy.,Not Applicable,Operational management,Preventive,Establish/Maintain Documentation
Sales Force Automation,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
PeopleSoft CRM,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Securities Lending,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
PeopleSoft Reporting,Monitor,False,Establish and maintain a software release policy.,Not Applicable,Operational management,Preventive,Establish/Maintain Documentation
Windows Mobile,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Labor Distribution,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Controlling,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Retail Client Registration,Monitor,False,Establish and maintain a software release policy.,Not Applicable,Operational management,Preventive,Establish/Maintain Documentation
PeopleSoft Financials,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
ServiceNow Enterprise Services,Attest,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
PeopleSoft Enterprise Services,Monitor,False,Establish and maintain a software release policy.,Non Compliant,Operational management,Preventive,Establish/Maintain Documentation
Client Services,Monitor,False,Establish and maintain a software release policy.,Non Compliant,Operational management,Preventive,Establish/Maintain Documentation
Retail POS (Point of Sale),Monitor,False,Establish and maintain a software release policy.,Not Applicable,Operational management,Preventive,Establish/Maintain Documentation
Email,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Blackberry,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Payroll,Monitor,False,Establish and maintain a software release policy.,Non Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Materials Management,Attest,False,Establish and maintain a software release policy.,,Operational management,Preventive,Establish/Maintain Documentation
PeopleSoft Governance,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
PeopleSoft Asset Lifecycle Management,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Workday Enterprise Services,Monitor,False,Establish and maintain a software release policy.,Non Compliant,Operational management,Preventive,Establish/Maintain Documentation
E-Commerce,Attest,False,Establish and maintain a software release policy.,,Operational management,Preventive,Establish/Maintain Documentation
OpenText Enterprise Services,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
This Service-now instance,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Financial Accounting,Attest,False,Implement approved changes.,,Operational management,Preventive,Configuration
Retail Adding Points,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
Retail,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
Electronic Messaging,Monitor,False,Implement approved changes.,Non Compliant,Operational management,Preventive,Configuration
Outlook Web Access (OWA),Monitor,False,Implement approved changes.,Not Applicable,Operational management,Preventive,Configuration
SAP Human Resources,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
PeopleSoft Supply Chain Management,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
Bond Trading - DR,Monitor,False,Implement approved changes.,Non Compliant,Operational management,Preventive,Configuration
Bond Trading,Monitor,False,Implement approved changes.,Not Applicable,Operational management,Preventive,Configuration
PeopleSoft Portals,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
Jobvite Enterprise Recruitment Services,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
SAP Enterprise Services,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
SAP Sales and Distribution,Monitor,False,Implement approved changes.,Non Compliant,Operational management,Preventive,Configuration
Retail Client Lookup,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
IT Services,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
SAP Plant Maintenance,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
PeopleSoft HRMS,Monitor,False,Implement approved changes.,Non Compliant,Operational management,Preventive,Configuration
Sales Force Automation,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
PeopleSoft CRM,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
Securities Lending,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
PeopleSoft Reporting,Monitor,False,Implement approved changes.,Non Compliant,Operational management,Preventive,Configuration
Windows Mobile,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
SAP Labor Distribution,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
SAP Controlling,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
Retail Client Registration,Monitor,False,Implement approved changes.,Non Compliant,Operational management,Preventive,Configuration
PeopleSoft Financials,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
ServiceNow Enterprise Services,Attest,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
PeopleSoft Enterprise Services,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
Client Services,Monitor,False,Implement approved changes.,Non Compliant,Operational management,Preventive,Configuration
Retail POS (Point of Sale),Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
Email,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
Blackberry,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
SAP Payroll,Monitor,False,Implement approved changes.,Non Compliant,Operational management,Preventive,Configuration
SAP Materials Management,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
PeopleSoft Governance,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
PeopleSoft Asset Lifecycle Management,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
Workday Enterprise Services,Monitor,False,Implement approved changes.,Non Compliant,Operational management,Preventive,Configuration
E-Commerce,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
OpenText Enterprise Services,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
This Service-now instance,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
SAP Financial Accounting,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
Retail Adding Points,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
Retail,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
Electronic Messaging,Monitor,False,Perform risk assessments prior to approving change requests.,Non Compliant,Operational management,Preventive,Testing
Outlook Web Access (OWA),Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
SAP Human Resources,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
PeopleSoft Supply Chain Management,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
Bond Trading - DR,Monitor,True,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
Bond Trading,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
PeopleSoft Portals,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
Jobvite Enterprise Recruitment Services,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
SAP Enterprise Services,Monitor,False,Perform risk assessments prior to approving change requests.,Non Compliant,Operational management,Preventive,Testing
SAP Sales and Distribution,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
Retail Client Lookup,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
IT Services,Monitor,False,Perform risk assessments prior to approving change requests.,Non Compliant,Operational management,Preventive,Testing
SAP Plant Maintenance,Monitor,False,Perform risk assessments prior to approving change requests.,Not Applicable,Operational management,Preventive,Testing
PeopleSoft HRMS,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
Sales Force Automation,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
PeopleSoft CRM,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
Securities Lending,Monitor,False,Perform risk assessments prior to approving change requests.,Not Applicable,Operational management,Preventive,Testing
PeopleSoft Reporting,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
Windows Mobile,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
SAP Labor Distribution,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
SAP Controlling,Monitor,False,Perform risk assessments prior to approving change requests.,Not Applicable,Operational management,Preventive,Testing
Retail Client Registration,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
PeopleSoft Financials,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
ServiceNow Enterprise Services,Attest,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
PeopleSoft Enterprise Services,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
Client Services,Monitor,False,Perform risk assessments prior to approving change requests.,Not Applicable,Operational management,Preventive,Testing
Retail POS (Point of Sale),Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
Email,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
Blackberry,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
SAP Payroll,Attest,False,Perform risk assessments prior to approving change requests.,,Operational management,Preventive,Testing
SAP Materials Management,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
PeopleSoft Governance,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
PeopleSoft Asset Lifecycle Management,Monitor,False,Perform risk assessments prior to approving change requests.,Non Compliant,Operational management,Preventive,Testing
Workday Enterprise Services,Monitor,False,Perform risk assessments prior to approving change requests.,Not Applicable,Operational management,Preventive,Testing
E-Commerce,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
OpenText Enterprise Services,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
This Service-now instance,Monitor,False,Perform risk assessments prior to approving change requests.,Non Compliant,Operational management,Preventive,Testing
Customer Support,Attest,True,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Finance,Attest,True,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
IT,Attest,True,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Development,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Not Applicable,Records management,Preventive,Establish/Maintain Documentation
Sales,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Product Management,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
HR,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Customer Support,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Finance,Monitor,False,Establish and maintain electronic storage media management procedures.,Non Compliant,Records management,Preventive,Establish/Maintain Documentation
IT,Monitor,False,Establish and maintain electronic storage media management procedures.,Non Compliant,Records management,Preventive,Establish/Maintain Documentation
Development,Monitor,False,Establish and maintain electronic storage media management procedures.,Not Applicable,Records management,Preventive,Establish/Maintain Documentation
Sales,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Product Management,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
HR,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Customer Support,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Finance,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
IT,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Development,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Not Applicable,Records management,Preventive,Establish/Maintain Documentation
Sales,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Product Management,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
HR,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Customer Support,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Finance,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
IT,Monitor,False,Establish and maintain a record classification scheme.,Not Applicable,Records management,Preventive,Establish/Maintain Documentation
Development,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Sales,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Product Management,Monitor,False,Establish and maintain a record classification scheme.,Non Compliant,Records management,Preventive,Establish/Maintain Documentation
HR,Attest,False,Establish and maintain a record classification scheme.,,Records management,Preventive,Establish/Maintain Documentation
Customer Support,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Finance,Monitor,False,Capture the records required by organizational compliance requirements.,Non Compliant,Records management,Detective,Records Management
IT,Attest,False,Capture the records required by organizational compliance requirements.,,Records management,Detective,Records Management
Development,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Sales,Monitor,True,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Product Management,Monitor,True,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
HR,Attest,True,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Cloudward Inc,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Robert E. Nolan,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Cloudward Inc,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Robert E. Nolan,Monitor,False,Establish and maintain electronic storage media management procedures.,Non Compliant,Records management,Preventive,Establish/Maintain Documentation
Cloudward Inc,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Not Applicable,Records management,Preventive,Establish/Maintain Documentation
Robert E. Nolan,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Cloudward Inc,Monitor,False,Establish and maintain a record classification scheme.,Non Compliant,Records management,Preventive,Establish/Maintain Documentation
Robert E. Nolan,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Cloudward Inc,Monitor,True,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Robert E. Nolan,Monitor,True,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Cloudward Inc,Review,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
Robert E. Nolan,Review,False,Manage change requests.,Non Compliant,Operational management,Preventive,Business Processes
Cloudward Inc,Review,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
Robert E. Nolan,Review,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
Cloudward Inc,Review,False,Update associated documentation after the system configuration has been changed.,Not Applicable,Operational management,Preventive,Establish/Maintain Documentation
Robert E. Nolan,Review,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Cloudward Inc,Review,False,Approve change requests prior to implementing approved changes.,Non Compliant,Operational management,Preventive,Business Processes
Robert E. Nolan,Review,False,Approve change requests prior to implementing approved changes.,Not Applicable,Operational management,Preventive,Business Processes
Cloudward Inc,Review,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
Robert E. Nolan,Review,False,Update the system's backup procedures after an approved change has occurred.,Non Compliant,Operational management,Preventive,Data and Information Management
Cloudward Inc,Review,False,Establish and maintain a change control program.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Robert E. Nolan,Review,False,Establish and maintain a change control program.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Cloudward Inc,Monitor,False,Establish and maintain a patch management program.,Compliant,Operational management,Preventive,Process or Activity
Robert E. Nolan,Monitor,False,Establish and maintain a patch management program.,Compliant,Operational management,Preventive,Process or Activity
Cloudward Inc,Monitor,False,Establish and maintain emergency change procedures.,Non Compliant,Operational management,Preventive,Establish/Maintain Documentation
Robert E. Nolan,Monitor,False,Establish and maintain emergency change procedures.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Cloudward Inc,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Robert E. Nolan,Monitor,False,Establish and maintain a software release policy.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Cloudward Inc,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
Robert E. Nolan,Monitor,False,Implement approved changes.,Compliant,Operational management,Preventive,Configuration
Cloudward Inc,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
Robert E. Nolan,Monitor,False,Perform risk assessments prior to approving change requests.,Compliant,Operational management,Preventive,Testing
Cloudward Inc,Review,False,Establish and maintain identification mechanism termination procedures.,Compliant,Physical and environmental protection,Preventive,Establish/Maintain Documentation
Robert E. Nolan,Review,False,Establish and maintain identification mechanism termination procedures.,Compliant,Physical and environmental protection,Preventive,Establish/Maintain Documentation
Cloudward Inc,Review,False,Review facility access lists.,Non Compliant,Physical and environmental protection,Detective,Establish/Maintain Documentation
Robert E. Nolan,Review,False,Review facility access lists.,Compliant,Physical and environmental protection,Detective,Establish/Maintain Documentation
Cloudward Inc,Review,False,"Manage access to loading docks, unloading docks, and mail rooms.",Compliant,Physical and environmental protection,Preventive,Physical and Environmental Protection
Robert E. Nolan,Review,False,"Manage access to loading docks, unloading docks, and mail rooms.",Non Compliant,Physical and environmental protection,Preventive,Physical and Environmental Protection
Cloudward Inc,Review,False,Establish and maintain a visitor access permissions policy.,Compliant,Physical and environmental protection,Preventive,Establish/Maintain Documentation
Robert E. Nolan,Review,False,Establish and maintain a visitor access permissions policy.,Compliant,Physical and environmental protection,Preventive,Establish/Maintain Documentation
Cloudward Inc,Review,False,"Use locks with electronic authentication systems or cipher locks, as necessary.",Compliant,Physical and environmental protection,Preventive,Configuration
Robert E. Nolan,Review,False,"Use locks with electronic authentication systems or cipher locks, as necessary.",Compliant,Physical and environmental protection,Preventive,Configuration
Cloudward Inc,Review,False,Monitor for unauthorized physical access at physical entry points.,Non Compliant,Physical and environmental protection,Detective,Monitor and Evaluate Occurrences
Robert E. Nolan,Review,False,Monitor for unauthorized physical access at physical entry points.,Compliant,Physical and environmental protection,Detective,Monitor and Evaluate Occurrences
Cloudward Inc,Review,False,Establish and maintain identification procedures.,Compliant,Physical and environmental protection,Preventive,Establish/Maintain Documentation
Robert E. Nolan,Review,False,Establish and maintain identification procedures.,Non Compliant,Physical and environmental protection,Preventive,Establish/Maintain Documentation
Cloudward Inc,Review,False,Establish and maintain identification issuance procedures for identification cards or badges.,Compliant,Physical and environmental protection,Preventive,Establish/Maintain Documentation
Robert E. Nolan,Review,False,Establish and maintain identification issuance procedures for identification cards or badges.,Compliant,Physical and environmental protection,Preventive,Establish/Maintain Documentation
Cloudward Inc,Review,False,Use locks to protect against unauthorized physical access.,Compliant,Physical and environmental protection,Preventive,Physical and Environmental Protection
Robert E. Nolan,Review,False,Use locks to protect against unauthorized physical access.,Compliant,Physical and environmental protection,Preventive,Physical and Environmental Protection
Cloudward Inc,Review,False,Secure physical entry points with physical access controls or security guards.,Non Compliant,Physical and environmental protection,Detective,Physical and Environmental Protection
Robert E. Nolan,Review,False,Secure physical entry points with physical access controls or security guards.,Compliant,Physical and environmental protection,Detective,Physical and Environmental Protection
Cloudward Inc,Review,False,Authorize visitors before granting entry to physical areas containing restricted data or restricted information.,Compliant,Physical and environmental protection,Preventive,Testing
Robert E. Nolan,Review,False,Authorize visitors before granting entry to physical areas containing restricted data or restricted information.,Non Compliant,Physical and environmental protection,Preventive,Testing
Cloudward Inc,Review,False,Control physical access to (and within) the facility.,Compliant,Physical and environmental protection,Preventive,Physical and Environmental Protection
Robert E. Nolan,Review,False,Control physical access to (and within) the facility.,Compliant,Physical and environmental protection,Preventive,Physical and Environmental Protection
Cloudward Inc,Review,False,Escort uncleared personnel who need to work in or access secure areas.,Compliant,Physical and environmental protection,Preventive,Monitor and Evaluate Occurrences
Robert E. Nolan,Review,False,Escort uncleared personnel who need to work in or access secure areas.,Compliant,Physical and environmental protection,Preventive,Monitor and Evaluate Occurrences
Cloudward Inc,Review,False,Identify and document physical access controls for all physical entry points.,Non Compliant,Physical and environmental protection,Preventive,Establish/Maintain Documentation
Robert E. Nolan,Review,False,Identify and document physical access controls for all physical entry points.,Compliant,Physical and environmental protection,Preventive,Establish/Maintain Documentation
Cloudward Inc,Review,False,"Escort visitors within the facility, as necessary.",Compliant,Physical and environmental protection,Preventive,Establish/Maintain Documentation
Robert E. Nolan,Review,False,"Escort visitors within the facility, as necessary.",Non Compliant,Physical and environmental protection,Preventive,Establish/Maintain Documentation
Cloudward Inc,Review,False,Manage visitor identification inside the facility.,Compliant,Physical and environmental protection,Preventive,Physical and Environmental Protection
Robert E. Nolan,Review,False,Manage visitor identification inside the facility.,Compliant,Physical and environmental protection,Preventive,Physical and Environmental Protection
Cloudward Inc,Review,False,Maintain and review facility access lists of personnel who have been granted authorized entry to (and within) facilities that contain restricted data or restricted information.,Not Applicable,Physical and environmental protection,Preventive,Establish/Maintain Documentation
Robert E. Nolan,Review,False,Maintain and review facility access lists of personnel who have been granted authorized entry to (and within) facilities that contain restricted data or restricted information.,Compliant,Physical and environmental protection,Preventive,Establish/Maintain Documentation
Cloudward Inc,Monitor,True,Establish and maintain a remote access and teleworking program.,Compliant,Technical security,Preventive,Establish/Maintain Documentation
Robert E. Nolan,Monitor,True,Establish and maintain a remote access and teleworking program.,Compliant,Technical security,Preventive,Establish/Maintain Documentation
Cloudward Inc,Monitor,True,Control remote access through a network access control.,Compliant,Technical security,Preventive,Technical Security
Robert E. Nolan,Monitor,True,Control remote access through a network access control.,Compliant,Technical security,Preventive,Technical Security
Cloudward Inc,Monitor,False,Protect remote access accounts with encryption.,Compliant,Technical security,Preventive,Configuration
Robert E. Nolan,Monitor,False,Protect remote access accounts with encryption.,Compliant,Technical security,Preventive,Configuration
Cloudward Inc,Monitor,False,Monitor and evaluate all remote access usage.,Compliant,Technical security,Detective,Monitor and Evaluate Occurrences
Robert E. Nolan,Monitor,False,Monitor and evaluate all remote access usage.,Compliant,Technical security,Detective,Monitor and Evaluate Occurrences
Cloudward Inc,Monitor,False,Disallow remote users from copying files to remote devices.,Not Applicable,Technical security,Preventive,Technical Security
Robert E. Nolan,Monitor,False,Disallow remote users from copying files to remote devices.,Compliant,Technical security,Preventive,Technical Security
Cloudward Inc,Monitor,False,Implement two-factor authentication techniques.,Compliant,Technical security,Preventive,Configuration
Robert E. Nolan,Monitor,False,Implement two-factor authentication techniques.,Not Applicable,Technical security,Preventive,Configuration
Cloudward Inc,Monitor,False,Control all methods of remote access and teleworking.,Compliant,Technical security,Preventive,Technical Security
Robert E. Nolan,Monitor,False,Control all methods of remote access and teleworking.,Compliant,Technical security,Preventive,Technical Security
"ACME, Inc.",Monitor,False,,,,,
"ACME, Inc.",Draft,False,,,,,
Adobe Systems,Draft,False,,,,,
Samsung,Monitor,True,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Samsung,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Samsung,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Samsung,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Samsung,Monitor,True,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
EMC,Monitor,True,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
EMC,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
EMC,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
EMC,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
EMC,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
InstallShield Software,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
InstallShield Software,Monitor,True,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
InstallShield Software,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
InstallShield Software,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
InstallShield Software,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Palm,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Palm,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Palm,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
